Page: 1 of 53 11/5/2025 10:30:11 AM
Unofficial Results for City of Boston
General Municipal Election
November 4, 2025
Precinct Registered Voters Cast % Turnout
Voters
CITY
BOSTON

WARD 1, PRECINCT 1 1,564 350 22.38%
WARD 1, PRECINCT 2 1,429 235 16.45%
WARD 1, PRECINCT 3 3,946 668 16.93%
WARD 1, PRECINCT 4 1,498 253 16.89%
WARD 1, PRECINCT 5 1,734 301 17.36%
WARD 1, PRECINCT 6 1,457 239 16.40%
WARD 1, PRECINCT 7 1,595 282 17.68%
WARD 1, PRECINCT 8 2,078 351 16.89%
WARD 1, PRECINCT 9 1,379 235 17.04%
WARD 1, PRECINCT 10 993 119 11.98%
WARD 1, PRECINCT 11 1,794 382 21.29%
WARD 1, PRECINCT 12 1,595 318 19.94%
WARD 1, PRECINCT 13 2,236 399 17.84%
WARD 1, PRECINCT 14 1,173 201 17.14%
WARD 1, PRECINCT 15 0 0 N/A
WARD 2, PRECINCT 1 2,252 525 23.31%
WARD 2, PRECINCT 2 1,866 494 26.47%
WARD 2, PRECINCT 3 2,043 516 25.26%
WARD 2, PRECINCT 4 1,865 503 26.97%
WARD 2, PRECINCT 5 1,833 519 28.31%
WARD 2, PRECINCT 6 1,623 419 25.82%
WARD 2, PRECINCT 7 1,414 260 18.39%
WARD 2, PRECINCT 8 1,928 250 12.97%
WARD 3, PRECINCT 1 1,833 494 26.95%
WARD 3, PRECINCT 2 1,949 475 24.37%
WARD 3, PRECINCT 3 1,281 233 18.19%
WARD 3, PRECINCT 4 1,434 258 17.99%
WARD 3, PRECINCT 5 1,885 447 23.71%
WARD 3, PRECINCT 6 1,594 230 14.43%
WARD 3, PRECINCT 7 1,492 382 25.60%

Page: 2 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 3, PRECINCT 8 2,547 369 14.49%
WARD 3, PRECINCT 9 1,237 341 27.57%
WARD 3, PRECINCT 10 2,471 398 16.11%
WARD 3, PRECINCT 11 1,574 340 21.60%
WARD 3, PRECINCT 12 2,019 562 27.84%
WARD 3, PRECINCT 13 1,254 338 26.95%
WARD 3, PRECINCT 14 1,819 496 27.27%
WARD 3, PRECINCT 15 1,806 269 14.89%
WARD 3, PRECINCT 16 2,319 513 22.12%
WARD 3, PRECINCT 17 1,274 279 21.90%
WARD 4, PRECINCT 1 1,449 368 25.40%
WARD 4, PRECINCT 2 1,481 339 22.89%
WARD 4, PRECINCT 3 1,884 461 24.47%
WARD 4, PRECINCT 4 1,920 492 25.63%
WARD 4, PRECINCT 5 1,678 370 22.05%
WARD 4, PRECINCT 6 1,402 221 15.76%
WARD 4, PRECINCT 7 1,297 302 23.28%
WARD 4, PRECINCT 8 1,507 261 17.32%
WARD 4, PRECINCT 9 617 76 12.32%
WARD 4, PRECINCT 10 468 51 10.90%
WARD 4, PRECINCT 11 127 9 7.09%
WARD 4, PRECINCT 12 499 92 18.44%
WARD 5, PRECINCT 1 1,552 326 21.01%
WARD 5, PRECINCT 2 1,513 269 17.78%
WARD 5, PRECINCT 3 1,983 452 22.79%
WARD 5, PRECINCT 4 1,241 207 16.68%
WARD 5, PRECINCT 5 1,319 355 26.91%
WARD 5, PRECINCT 6 1,704 387 22.71%
WARD 5, PRECINCT 7 2,127 458 21.53%
WARD 5, PRECINCT 8 1,859 356 19.15%
WARD 5, PRECINCT 9 1,869 361 19.32%
WARD 5, PRECINCT 10 1,186 180 15.18%
WARD 5, PRECINCT 11 850 162 19.06%
WARD 5, PRECINCT 12 1,113 167 15.00%
WARD 5, PRECINCT 13 1,591 423 26.59%
WARD 5, PRECINCT 14 1,249 336 26.90%
WARD 5, PRECINCT 15 1,205 211 17.51%

Page: 3 of 53 11/5/2025 10:30:11 AM
Precinct Registered Voters Cast % Turnout
Voters
WARD 6, PRECINCT 1 2,168 449 20.71%
WARD 6, PRECINCT 2 1,713 226 13.19%
WARD 6, PRECINCT 3 1,968 273 13.87%
WARD 6, PRECINCT 4 1,385 254 18.34%
WARD 6, PRECINCT 5 1,801 283 15.71%
WARD 6, PRECINCT 6 1,910 341 17.85%
WARD 6, PRECINCT 7 1,770 326 18.42%
WARD 6, PRECINCT 8 2,007 416 20.73%
WARD 6, PRECINCT 9 1,948 420 21.56%
WARD 6, PRECINCT 10 1,634 257 15.73%
WARD 6, PRECINCT 11 1,741 331 19.01%
WARD 6, PRECINCT 12 3,459 374 10.81%
WARD 7, PRECINCT 1 1,519 383 25.21%
WARD 7, PRECINCT 2 1,816 369 20.32%
WARD 7, PRECINCT 3 2,043 450 22.03%
WARD 7, PRECINCT 4 1,569 233 14.85%
WARD 7, PRECINCT 5 2,030 300 14.78%
WARD 7, PRECINCT 6 1,644 298 18.13%
WARD 7, PRECINCT 7 1,403 145 10.33%
WARD 7, PRECINCT 8 1,563 304 19.45%
WARD 7, PRECINCT 9 1,224 234 19.12%
WARD 7, PRECINCT 10 1,506 219 14.54%
WARD 8, PRECINCT 1 2,505 466 18.60%
WARD 8, PRECINCT 2 1,698 334 19.67%
WARD 8, PRECINCT 3 1,814 287 15.82%
