|                      | PRECINCT 1   | PRECINCT 1   | PRECINCT 2   | PRECINCT 2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|----------------------|--------------|--------------|--------------|--------------|-------------|-------------|---------|
| SELECTBOARD          | Precinct 1   | HAND         | Precinct 2   | HAND         | Precinct3   | HAND        | TOTAL   |
| CHARLESJCOSTELLO     | 254          |              | 308          |              | 277         |             | 839     |
| JUDITHANNSTICKNEY    | 196          |              | 216          |              | 156         |             | 568     |
| LINDSEYMICHELLE CREA | 300          |              | 238          |              | 222         |             | 760     |
| DANIELRRIO           | 176          |              | 133          |              | 131         |             | 440     |
| WRITE-IN             | 7            |              | 1            |              | 2           |             | 10      |
| BLANKS               | 97           |              | 78           |              | 102         |             | 277     |
| TOTAL                | 1030         |              | 974          |              | 890         |             | 2894    |

|                  | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| BOARDOFASSESSORS | Precinct 1  | HAND        | Precinct2   | HAND        | Precinct3   | HAND        |         |
| DIANAM.HEADRICK  | 357         |             | 354         |             | 322         |             | 1033    |
| WRITE-IN         | 5           |             | 1           |             | 0           |             | 9       |
| BLANKS           | 153         |             | 132         |             | 123         |             | 408     |
| TOTAL            | 515         |             | 487         |             | 445         |             | 1447    |

|               | PRECINCT 1   | PRECINCT 1   | PRECINCT 2   | PRECINCT 2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|---------------|--------------|--------------|--------------|--------------|-------------|-------------|---------|
| PLANNINGBOARD | Precinct 1   | HAND         | Precinct2    | HAND         | Precinct3   | HAND        |         |
| JAMESH.BARNES | 352          |              | 347          |              | 324         |             | 1023    |
| WRITE-IN      | 5            |              | 1            |              | 1           |             | 7       |
| BLANKS        | 158          |              | 139          |              | 120         |             | 417     |
| TOTAL         | 515          |              | 487          |              | 445         |             | 1447    |

|                | PRECINCT 1   | PRECINCT 1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|----------------|--------------|--------------|-------------|-------------|-------------|-------------|---------|
| BOARD OFHEALTH | Precinct 1   | HAND         | Precinct 2  | HAND        | Precinct 3  | HAND        |         |
| JAMESV.ELLARD  | 363          |              | 354         |             | 333         |             | 1050    |
| JAMESTAGGART   | 344          |              | 330         |             | 296         |             | 970     |
| WRITE-IN       | 7            |              | 1           |             | 3           |             | 11      |
| BLANKS         | 316          |              | 289         |             | 258         |             | 863     |
| TOTAL          | 1030         |              | 974         |             | 890         |             | 2894    |

|                    | PRECINCT 1   | PRECINCT 1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|--------------------|--------------|--------------|-------------|-------------|-------------|-------------|---------|
| BOXFORDSCHOOLCOM   | Precinct 1   | HAND         | Precinct2   | HAND        | Precinct3   | HAND        |         |
| JOHNLEWISLAMBMEYER | 325          |              | 315         |             | 295         |             | 935     |
| KEITHWILSON        | 337          |              | 314         |             | 303         |             | 954     |
| WRITE-IN           | 12           |              | 5           |             | 1           |             | 18      |
| BLANKS             | 356          |              | 340         |             | 291         |             | 987     |
| TOTAL              | 1030         |              | 974         |             | 890         |             | 2894    |

| PRECINCT1   | PRECINCT2   | PRECINCT3   | IVIUI   |
|-------------|-------------|-------------|---------|

59

| MASCOSCHOOLCOM      |   Precinct 1 | HAND   | Precinct 2   | HAND   |   Precinct 3 | HAND   |   IUIAL |
|---------------------|--------------|--------|--------------|--------|--------------|--------|---------|
| ERICAANDREWCLEMENTS |          264 |        | 249          |        |          228 |        |     741 |
| RUSSELLA.FIORE      |          160 |        | 170          |        |          138 |        |     468 |
| WRITE-IN            |            4 |        |              |        |            1 |        |       5 |
| BLANKS              |           87 |        | 68           |        |           78 |        |     233 |
| TOTAL               |          515 |        | 487          |        |          445 |        |    1447 |

|                      | PRECINCT 1   | PRECINCT 1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|----------------------|--------------|--------------|-------------|-------------|-------------|-------------|---------|
| BOARD OFLIBRARY      | Precinct 1   | HAND         | Precinct2   | HAND        | Precinct3   | HAND        | TOTAL   |
| AMANDAJ.LAMANITA     | 280          |              | 277         |             | 257         |             | 814     |
| ARTHURW.HAVEY        | 225          |              | 226         |             | 223         |             | 674     |
| KATHRYNCOFSKYLEMAIRE | 268          |              | 232         |             | 218         |             | 718     |
| KRYSTALLEIGHPARKER   | 262          |              | 274         |             | 231         |             | 767     |
| STEFANIEROBINSIEGEL  | 278          |              | 297         |             | 225         |             | 800     |
| WRITE-IN             | 11           |              | 6           |             | 0           |             | 17      |
| BLANKS               | 736          |              | 636         |             | 626         |             | 1998    |
| TOTAL                | 2060         |              | 1948        |             | 1780        |             | 5788    |

|                  | PRECINCT 1   | PRECINCT 1   | PRECINCT 2   | PRECINCT 2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|------------------|--------------|--------------|--------------|--------------|-------------|-------------|---------|
| COMMOFTRUSTFUNDS | Precinct 1   | HAND         | Precinct2    | HAND         | Precinct3   | HAND        | TOTAL   |
| MARK M. PHELAN   | 363          |              | 357          |              | 322         |             | 1042    |
| WRITE-IN         | 8            |              | 0            |              | 1           |             | 9       |
| BLANKS           | 144          |              | 130          |              | 122         |             | 396     |
| TOTAL            | 515          |              | 487          |              | 445         |             | 1447    |

|            | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| QUESTION 1 | Precinct 1  | HAND        | Precinct2   | HAND        | Precinct3   | HAND        |         |
| YES        | 341         |             | 330         |             | 291         |             | 962     |
| NO         | 155         |             | 144         |             | 138         |             | 437     |
| BLANKS     | 19          |             | 13          |             | 16          |             | 48      |
| TOTAL      | 515         |             | 487         |             | 445         |             | 1447    |

|           | PRECINCT 1   | PRECINCT 1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|-----------|--------------|--------------|-------------|-------------|-------------|-------------|---------|
| QUESTION2 | Precinct 1   | HAND         | Precinct 2  | HAND        | Precinct 3  | HAND        |         |
| YES       | 317          |              | 293         |             | 259         |             | 869     |
| NO        | 167          |              | 163         |             | 155         |             | 485     |
| BLANKS    | 31           |              | 31          |             | 31          |             | 93      |
| TOTAL     | 515          |              | 487         |             | 445         |             | 1447    |
