|                    | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|--------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| BOARDOFHEALTH      | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| ALEXANDERA.CONSTAN | 348         |             | 427         |             | 340         |             | 1115    |
| WRITE.IN           | 3           |             | 0           |             | 1           |             | 4       |
| BLANKS             | 89          |             | 84          |             | 97          |             | 270     |
| TOTAL              | 440         |             | 511         |             | 438         |             | 1389    |

|                  | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| JOXFORDSCHOOLCOM | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| AYESHA A.KHADER  | 296         |             | 374         |             | 318         |             | 988     |
| WRITE-IN         | 4           |             | 2           |             |             |             | 6       |
| BLANKS           | 140         |             | 135         |             | 120         |             | 395     |
| TOTAL            | 440         |             | 511         |             | 438         |             | 1389    |

|               | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|---------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| PLANNINGBOARD | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| ROBERTC.GORE  | 327         |             | 390         |             | 332         |             | 1049    |
| WRITE-IN      | 3           |             | 1           |             | 2           |             | 6       |
| BLANKS        | 110         |             | 120         |             | 104         |             | 334     |
| TOTAL         | 440         |             | 511         |             | 438         |             | 1389    |

|                | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|----------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| PLANNING BOARD | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| CHARLESL.GRANT | 330         |             | 394         |             | 328         |             | 1052    |
| WRITE-IN       | 2           |             | 1           |             | 0           |             | 3       |
| 1              |             |             |             |             |             |             |         |
| BLANKS         | 108         |             | 116         |             | 110         |             | 334     |
| TOTAL          | 440         |             | 511         |             | 438         |             | 1389    |

MAY20,2025

|                     | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|---------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| SELECTBOARD         | Precinct1   | HC          | Precinct2   | HC          | Precinct3   | HC          | TOTAL   |
| MARGARETCHOW-MENZER | 311         |             | 376         |             | 316         |             | 1003    |
| PETERC.PERKINS      | 324         |             | 389         |             | 344         |             | 1057    |
| WRITE-IN            | 9           |             | 3           |             | 5           |             | 17      |
| BLANKS              | 236         |             | 254         |             | 211         |             | 701     |
| TOTAL               | 880         |             | 1022        |             | 876         |             | 2778    |

