BOXFORD TOWN ELECTION
MAY 19, 2026

<!-- the two lines above are printed, centred, at the top of page 1 of the source, in light grey type outside the table borders. docling's table pass discarded them; they were read off the page rendered at 200 dpi and restored 2026-08-25 by src/repair_boxford2026_ocr.py. Everything below this line is docling's own output, unedited. -->

|                 | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|-----------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| SELECT BOARD    | Precinct1   | HC          | Precinct 2  | HC          | Precinct3   | HC          | TOTAL   |
| BARBARAG.JESSEL | 170         |             | 202         |             | 167         |             | 539     |
| WRITE-IN        | 3           |             | 5           |             | 1           |             | 9       |
| BLANKS          | 38          |             | 36          |             | 29          |             | 103     |
| TOTAL           | 211         |             | 243         |             | 197         |             | 651     |

| PRECINCT1         | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|-------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| BOARD OFASSESSORS | Precinct1   | HC          | Precinct2   | H           | Precinct 3  | HC          | TOTAL   |
| JEFFREYG.LINEHAN  | 155         |             | 202         |             | 156         |             | 513     |
| WRITE-IN          | 0           |             | L           |             | 0           |             | 1       |
| BLANKS            | 56          |             | 40          |             | 41          |             | 137     |
| TOTAL             | 211         |             | 243         |             | 197         |             | 651     |

|                    | PRECINCT1   | PRECINCT1   | PRECINCT2   | PRECINCT2   | PRECINCT3   | PRECINCT3   | TOTAL   |
|--------------------|-------------|-------------|-------------|-------------|-------------|-------------|---------|
| PLANNING BOARD-SYR | Precinct1   | HC          | Precinct 2] | HC          | Precinct3   | HC          | TOTAL   |
| ELLENNESTERVICH    | 149         |             | 189         |             | 158         |             | 496     |
| ANGELAM.STEADMAN   | 161         |             | 194         |             | 153         |             | 508     |
| WRITE-IN           | 1           |             |             |             |             |             | 1       |
| BLANKS             | 111         |             | 103         |             | 83          |             | 297     |
| TOTAL              | 422         |             | 486         |             | 394         |             | 1302    |

