## Threeyear terms

## ANNUALTOWNELECTION April 8,2025

| SELECTBOARD                 | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
|-----------------------------|------|------|------|------|------|------|------|---------|
| JOHNJ.CONNOLLY              | 225  | 342  | 130  | 289  | 362  | 195  | 277  | 1820    |
| SUSANG.HARRINGTON           | 384  | 642  | 350  | 473  | 474  | 424  | 517  | 3264    |
| **Others                    | 0    | 0    | 0    | 0    | 1    | 0    | 0    | 1       |
| BLANKS                      | 0    | 8    | 1    | 3    | 2    | 3    | 1    | 18      |
| TOTAL                       | 609  | 992  | 481  | 765  | 839  | 622  | 795  | 5103    |
| Threeyearterm               |      |      |      |      |      |      |      |         |
| BOARDOFASSESSORS            | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| WILLIAMC.GALVIN             | 473  | 744  | 357  | 556  | 606  | 481  | 593  | 3810    |
| **Others                    | 4    | 11   | 0    | 1    | 0    | 5    | 7    | 28      |
| BLANKS                      | 132  | 237  | 124  | 208  | 233  | 136  | 195  | 1265    |
| TOTAL                       | 609  | 992  | 481  | 765  | 839  | 622  | 795  | 5103    |
| Threeyearterm               |      |      |      |      |      |      |      |         |
| BOARDOFHEALTH               | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| ANJALIBAYLISS               | 411  | 674  | 323  | 500  | 550  | 464  | 547  | 3469    |
| **Others                    | 1    | 10   | 1    | 1    | 0    | 2    | 6    | 21      |
| BLANKS                      | 197  | 308  | 157  | 264  | 289  | 156  | 242  | 1613    |
| TOTAL                       | 609  | 992  | 481  | 765  | 839  | 622  | 795  | 5103    |
| Three year term             |      |      |      |      |      |      |      |         |
| SCHOOLCOMMITTEE             | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| KRISTIANDARIGANMERENDA      | 365  | 599  | 271  | 427  | 483  | 411  | 465  | 3021    |
| AMANDAF.RYDER               | 362  | 567  | 293  | 447  | 468  | 403  | 458  | 2998    |
| **Others                    | 1    | 11   | 3    | 1    | 2    | 0    | 5    | 23      |
| BLANKS                      | 490  | 807  | 395  | 655  | 725  | 430  | 662  | 4164    |
| TOTAL                       | 1218 | 1984 | 962  | 1530 | 1678 | 1244 | 1590 | 10206   |
| ONEYearTerm tofill avacancy |      |      |      |      |      |      |      |         |
| SCHOOLCOMMITTEE             | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| SONJAROSEGRAUDES            | 372  | 614  | 314  | 452  | 491  | 421  | 488  | 3152    |
| **Others                    | 1    | 5    | 2    | 2    | 0    | 1    | 5    | 16      |
| BLANKS                      | 236  | 373  | 165  | 311  | 348  | 200  | 302  | 1935    |
| TOTAL                       | 609  | 992  | 481  | 765  | 839  | 622  | 795  | 5103    |
| Five yearterm               |      |      |      |      |      |      |      |         |
| PLANNING BOARD              | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| DAVIDP.McCARTHY             | 368  | 598  | 276  | 449  | 487  | 364  | 432  | 2974    |
| HAMILTONSOARESRODRIGUES     | 154  | 241  | 130  | 192  | 209  | 184  | 236  | 1346    |
| **Others                    | 1    | 3    | 1    | 0    | 0    | 0    | 0    | 5       |
| BLANKS                      | 86   | 150  | 74   | 124  | 143  | 74   | 127  | 778     |
| TOTAL                       | 609  | 992  | 481  | 765  | 839  | 622  | 795  | 5103    |
| Threeyearterms              |      |      |      |      |      |      |      |         |
| LIBRARYTRUSTEES             | 1    | 2    | 3    | 4    | 5    | 6    | 7    | TOTAL   |
| NANCYELIZABETHCONNERY       | 394  | 646  | 305  | 475  | 516  | 436  | 515  | 3287    |
| MARGARETELIZABETHMEAD       | 386  | 607  | 288  | 457  | 518  | 434  | 515  | 3205    |
| EMILYG.PRIGOT               | 380  | 599  | 288  | 453  | 513  | 448  | 513  | 3194    |
| **Others                    | 6    | 11   | 3    | 5    | 6    | 0    | 5    | 36      |
| BLANKS                      | 661  | 1113 | 559  | 905  | 964  | 548  | 837  | 5587    |
| TOTAL                       | 1827 | 2976 | 1443 | 2295 | 2517 | 1866 | 2385 | 15309   |

## ANNUALTOWNELECTION April 8,2025

ShouldtheTownofCantonholdannualmunicipalelectionsonthefirstTuesdayafterthefirstMondayin November,withthefirstannual municipalelectiontostartinanon-presidentialelectionyear?

| NONBINDINGQUESTION   |   1 |   2 |   3 |   4 |   5 |   6 |   7 |   TOTAL |
|----------------------|-----|-----|-----|-----|-----|-----|-----|---------|
| YES                  | 353 | 583 | 325 | 454 | 481 | 394 | 491 |    3081 |
| NO                   | 202 | 309 | 105 | 253 | 268 | 174 | 229 |    1540 |
| BLANKS               |  54 | 100 |  51 |  58 |  90 |  54 |  75 |     482 |
| TOTAL                | 609 | 992 | 481 | 765 | 839 | 622 | 795 |    5103 |

Denoteswinner
