## AnnualTownElection May 18, 2024

| Town of Hanson                | PrecinctPrecinctPrecinct 1    | EV I   | ⅡI   | EV tPrecinct I1   | Precinct III   | EV Precinct IⅢI   | Total   |
|-------------------------------|-------------------------------|--------|------|-------------------|----------------|-------------------|---------|
| SELECTMANfor Threeyears       |                               |        |      |                   |                |                   |         |
| (twotobeelected)              |                               |        |      |                   |                |                   |         |
| Ann M. Rein*                  | 144                           | 169    | 147  | 146               | 117            | 110               | 833     |
| Joseph RichardWeeksIII*       | 99                            | 156    | 115  | 155               | 91             | 115               | 731     |
| Franklin Milisi               | 119                           | 106    | 164  | 91                | 121            | 82                | 683     |
| Write-ins (scattered)         | 7                             | 3      | 11   | 1                 | 7              | 2                 | 31      |
| Blanks                        | 111                           | 104    | 125  | 125               | 112            | 87                | 664     |
| ASSESSORforThreeyears         |                               |        |      |                   |                |                   |         |
| Write ins                     |                               |        |      |                   |                |                   |         |
| Susan J. Shiels               | 10                            | 10     | 17   | 3                 | 17             | 3                 | 60      |
| Owen Golden                   | 2                             | 0      | 1    | 0                 | 3              | 0                 | 6       |
| James Hickey                  | 1                             | 2      | 0    | 0                 | 0              | 0                 | 3       |
| Christopher Ernest            | 1                             | 0      | 1    | 0                 | 1              | 0                 | 3       |
| John Leary                    | 0                             | 0      | 2    | 0                 | 0              | 0                 | 2       |
| Bruce Young                   | 0                             | 1      | 1    | 0                 | 0              | 0                 | 2       |
| Kathleen Marini               | 0                             | 0      | 2    | 0                 | 0              | 0                 | 2       |
| Barbara Burke                 | 0                             | 0      | 2    | 0                 | 0              | 0                 | 2       |
| Joe Moser                     | 0                             | 0      | 1    | 0                 | 0              | 0                 | 1       |
| Jim Tuffo                     | 0                             | 0      | 1    | 0                 | 0              | 0                 | 1       |
| Lee Gamache                   | 0                             | 0      | 0    | 0                 | 1              | 1                 | 2       |
| Jason Hook                    | 0                             | 0      | 0    | 0                 | 1              | 0                 | 1       |
| Kristen Evans                 | 0                             | 0      | 0    | 0                 | 1              | 0                 | 1       |
| Donna Barker                  | 0                             | 2      | 0    | 2                 | 0              | 0                 | 4       |
| Kenneth Patts                 | 0                             | 0      | 0    | 2                 | 0              | 0                 | 2       |
| Molly Webb                    | 0                             | 0      | 0    | 2                 | 0              | 0                 | 2       |
| Alexander Stewart             | 0                             | 0      | 0    | 1                 | 0              | 0                 | 1       |
| Kathleen Keefe                | 0                             | 0      | 0    | 1                 | 0              | 0                 | 1       |
| Rich Lyons                    | 0                             | 0      | 0    | 1                 | 0              | 0                 | 1       |
| Brian Fox                     | 0                             | 0      | 0    | 0                 | 0              | 1                 | 1       |
| Eric Adams                    | 0                             | 0      | 0    | 0                 | 0              | 1                 | 1       |
| Paul Benenato                 | 0                             | 0      | 0    | 0                 | 0              | 1                 | 1       |
| Blanks                        | 226                           | 254    | 253  | 247               | 200            | 191               | 1371    |
| BOARDOFHEALTHforThreeyears    | BOARDOFHEALTHforThreeyears    |        |      |                   |                |                   |         |
| Arlene M. Dias*               | 171                           | 226    | 202  | 204               | 159            | 161               | 1123    |
| Write-ins (scattered)         | 1                             | 1      | 3    | 1                 | 2              | 2                 | 10      |
| Blanks                        | 68                            | 42     | 76   | 54                | 63             | 35                | 338     |
| BOARD OFHEALTH for Threeyears | BOARD OFHEALTH for Threeyears |        |      |                   |                |                   |         |
| Peter Butler                  | 166                           | 219    | 199  | 184               | 151            | 158               | 1077    |
| Write-ins (scattered)         | 0                             | 0      | 1    | 2                 | 1              | 0                 | 4       |
| Blanks                        | 74                            | 50     | 81   | 73                | 72             | 40                | 390     |

| Town ofHanson                        | I                                    | EV PrecinctPrecinct I                | Precinct II                          | EV Precinct II                       | Precinct III                         | EV Precinct III                      | Total                                |
|--------------------------------------|--------------------------------------|--------------------------------------|--------------------------------------|--------------------------------------|--------------------------------------|--------------------------------------|--------------------------------------|
| CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears | CEMETERY COMMISSIONER for Threeyears |
| Write ins                            |                                      |                                      |                                      |                                      |                                      |                                      |                                      |
| Stephen Smith                        | 7                                    | 2                                    | 7                                    | 2                                    | 8                                    | 0                                    | 26                                   |
| Owen Golden                          | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| AlexanderStewart                     | 5                                    | 1                                    | 4                                    | 8                                    | 2                                    | 4                                    | 24                                   |
| John Ferry Jr.                       | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Michael Doucette                     | 1                                    | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 2                                    |
| Michael Vallery                      | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Wayne Linn Sr                        | 2                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 2                                    |
| James Sweeney                        | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| PatrickPowers                        | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Christopher Kelley                   | 2                                    | 0                                    | 7                                    | 0                                    | 2                                    | 0                                    | 11                                   |
| Anna Dunbar                          | 0                                    | 0                                    | 2                                    | 0                                    | 0                                    | 0                                    | 2                                    |
| Michael Connors                      | 0                                    | 0                                    | 1                                    | 0                                    | 5                                    | 0                                    | 6                                    |
| James Hickey                         | 0                                    | 2                                    | 1                                    | 0                                    | 1                                    | 0                                    | 4                                    |
| Joe Moser                            | 0                                    | 0                                    | 1                                    | 0                                    | 1                                    | 0                                    | 2                                    |
| Donna Barker                         | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Barbara Burke                        | 0                                    | 0                                    | 2                                    | 0                                    | 0                                    | 0                                    | 2                                    |
| Greg DeLue                           | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Tim Le                               | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Charlie Baker                        | 0                                    | 0                                    |                                      | 0                                    | 2                                    | 0                                    | 2                                    |
| Jason Hook                           | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 1                                    |
| Steve Capalini                       | 0                                    | 0                                    | 0                                    | 0                                    | 2                                    | 0                                    | 2                                    |
| Marcus Linn                          | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 1                                    | 2                                    |
| Scott Ripley                         | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 1                                    |
| Jerry Thompson                       | 0                                    | 1                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    |
| Kenneth Patts                        | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 1                                    |
| BrandonHall                          | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 1                                    |
| Kevin Keene                          | 0                                    | 0                                    | 0                                    | 2                                    | 0                                    | 0                                    | 2                                    |
| Timothy Fox                          | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 1                                    |
| Bernard Hendriksen                   | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 1                                    |
| Ralph Becker                         | 0                                    | 0                                    | 0                                    | 1                                    | 0                                    | 0                                    | 1                                    |
| Kelly Woerdman                       | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 1                                    |
| Eric Adams                           | 0                                    | 0                                    | 0                                    | 0                                    | 0                                    | 1                                    | 1                                    |
