## OFFICIAL2025GENERALMUNICIPALELECTIONRESULTS

| Registered voters                       | W1P1     | W1P2     | W2P1     | W2P2      | W3P1      | W3P2      | W4P1 1625   | W4P2 W5P1 2679   | 2752   | WSP2. 2609   | W6P1 2789   | W6P2 2634   | W6P2A 175   | W7P1   | W7P2 2165   | W7P2A 102   | W8P1 2794   | W8P2 2473   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   | TOTAL 42519   |
|-----------------------------------------|----------|----------|----------|-----------|-----------|-----------|-------------|------------------|--------|--------------|-------------|-------------|-------------|--------|-------------|-------------|-------------|-------------|---------------|---------------|---------------|---------------|---------------|---------------|---------------|---------------|
| Voters                                  | 2838 755 | 2842 844 | 2702 827 | 3165 1264 | 2901 1259 | 2897 1514 | 349         | 1065             | 729    | 714          | 1233        | 1170        | 90          | 346    | 2377 404    | 15          | 1005        | 772         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         |
| MAYOR                                   |          |          |          |           |           |           |             |                  |        |              |             |             |             |        |             |             |             |             |               |               |               |               |               |               |               |               |
| BREANNA LUNGO-XOEHN                     | 458      | 528      | 514      | 756       | 695       | 905       | 246         | 681              | 483    | 482          | 836         | 733         | 53          | 228    | 269         |             | 594         | 482         | 8956          | 8956          | 8956          | 8956          | 8956          | 8956          | 8956          | 8956          |
| ISAACB"ZAC"BEARSII{write-in)            | 3        | 4        | 7        | 12        | 11        | 8         | 2           | 1                | 4      | 11           | 12          | 11          |             | 1      | 3           |             | 9           | 5           | 104           | 104           | 104           | 104           | 104           | 104           | 104           | 104           |
| Totalnumberofwrite-ins                  | S7       | 32       | 45       | 54        | 67        | 116       | 6           | 83               | 32     | 31           | 46          | 44          | 8           | 14     | 23          | 0           | 70          | 51          | 779           | 779           | 779           | 779           | 779           | 779           | 779           | 779           |
| Times Blank Voted                       | 237      | 280      | 261      | 442       | 486       | 485       | 95          | 300              | 210    | 190          | 339         | 382         | 29          | 103    | 109         | 2           | 332         | 234         | 4516          | 4516          | 4516          | 4516          | 4516          | 4516          | 4516          | 4516          |
| Total Ballots                           | 755      | 844      | 827      | 1264      | 1259      | 1514      | 349         | 1065             | 729    | 714          | 1233        | 1170        | 06          | 346    | 404         | 15          | 1005        | 772         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         | 14355         |
| QUESTION                                |          |          |          |           |           |           |             |                  |        |              |             |             |             |        |             |             |             |             |               |               |               |               |               |               |               |               |
| YES                                     | 391      | 476      | 424      | 704       | 702       | 918       | 245         | 69               | 517    | 485          | 869         | 708         | 59          | 215    | 242         | 13          | 600         | 492         | 8753          | 8753          | 8753          | 8753          | 8753          | 8753          | 8753          | 8753          |
