| Preliminary Results Local Election5.6.2024   |     | Precinct 1 Precinct 2   | TOTAL   |
|----------------------------------------------|-----|-------------------------|---------|
| OFFICESAND CANDIDATES                        |     |                         |         |
| Moderator                                    |     |                         |         |
| W.Earl Baumgardner                           | 245 | 215                     | 460     |
|                                              |     |                         | 0       |
|                                              |     |                         | 0       |
| Write-lnAll Other                            | 7   | 8                       | 15      |
| OverVotes                                    | 0   |                         | 0       |
| Under Votes (Blanks)                         | 54  | 30                      | 84      |
| TOTAL                                        | 306 | 253                     | 559     |
| Selectman                                    |     |                         |         |
| Wayne P.Adams 2 Years                        | 180 | 166                     | 346     |
| JanetM.Bruno3Years                           | 209 | 187                     | 396     |
| Robert Gustison,ll 1 Year                    | 177 | 152                     | 329     |
| GregoryPaceHatch                             | 133 | 89                      | 222     |
| Write-InAllOther                             | 6   | 3                       | 9       |
| OverVotes                                    | 0   |                         | 0       |
| UnderVotes(Blanks)                           | 213 | 162                     | 375     |
| TOTAL                                        | 918 | 759                     | 1677    |
| Assessor                                     |     |                         |         |
| Susan M.Searle                               | 239 | 174                     | 413     |
| Write-In All Other                           | 7   | 29                      | 36      |
| OverVotes                                    | 0   |                         | 0       |
| Under Votes (Blank)                          | 60  | 50.                     | 110     |
| TOTAL                                        | 306 | 253                     | 559     |
| Assessor                                     |     |                         |         |
| Gena Sinibaldi                               | 8   | 29                      | 37      |
|                                              | 0   |                         |         |
| Write-In AlI Other                           | 22  | 12                      | 34      |
| OverVotes                                    | 0   | 0                       | 0       |
| UnderVotes(Blank)                            | 276 | 212                     | 488     |
| TOTAL                                        | 306 | 253                     | 559     |
| Planning Board                               |     |                         |         |
| William A.McGowan                            | 234 | 202                     | 436     |
|                                              |     |                         | 0       |
| Write-InAllOther                             | 0   | 0                       | 0       |
| OverVotes                                    | 0   | 0                       | 0       |
| Under Votes(Blanks)                          | 72  | 51                      | 123     |
| TOTAL                                        | 306 | 253                     | 559     |
| School Committee                             |     |                         |         |
| Brienne Rachelle Walsh                       | 235 | 193                     | 428     |

|                      |     |     | 0    |
|----------------------|-----|-----|------|
| Write-lnAOther       | 5   | 2   | 7    |
| Over.Votes           | 0   |     | 0    |
| UnderVeles(Blanks)   | 66  | 58  | 12.4 |
| TOTAL                | 306 | 253 | 559  |
| BoardcHealth         |     |     |      |
| Ashlyn Ca'gani       | 228 | 191 | 41.9 |
|                      |     |     | 0    |
|                      |     |     | 0    |
| Write-InAll Other    | 0   | 2   | 2    |
| OverVotes            | 2   | 0   | 2    |
| Under Votes(Blanks)  | 76  | 60  | 136  |
| TOTAL                | 306 | 253 | 559  |
| Library Trustee      |     |     |      |
| JenniferP.Brown      | 178 | 142 | 320  |
| Susan Courn          | 157 | 126 | 283  |
| Courtney Breen       | 92  | 93  | 185  |
| SandraBrown          | 83  | 57  | 140  |
| Write-InAllOther     | 6   | 4   | 10   |
| OverVotes            | 39  | 2   | 41   |
| UnderVotes.(Btanks)  | 57  | 82  | 139  |
| TOTAL                | 612 | 506 | 1118 |
| Cemetery Trustee     |     |     |      |
| David Vance          | 48  | 40  | 88   |
| David Olds           | 0   | 1   | 1    |
| Write-InAllOther     | 18  | 12  | 30   |
| OverVotes            | 0   | 0   | 0    |
| Under Votes (Blanks) | 240 | 200 | 440  |
| TOTAL                | 306 | 253 | 559  |
| Light Commissioner   |     |     |      |
| Kenneth P.Rhudick    | 237 | 203 | 440  |
|                      |     |     | 0    |
|                      |     |     | 0    |
| Write-lnAllOther     | 2   |     | 2    |
| OverVotes            | 0   |     | 0：   |
| UnderVotes(Blanks)   | 67  | 50  | 117  |
| TOTAL                | 306 | 253 | 559  |
| Housing Authority    |     |     |      |
| Connie Nucci         | 241 | 211 | 452  |
| Write-inAll Other    | 0   | 1   | 1    |

| Blank   |   65 |   41 |   106 |
|---------|------|------|-------|
| TOTAL   |  306 |  253 |   559 |
