<!-- image -->

## OFFICIALRESULTS

## ANNUALTOWNELECTION Milford, Massachusetts

Tuesday, April 1, 2025

| PRECINCT                                        |                                                  | 1      | 2       | 3                          | 4      | 5       | 6       | 7       | 8       | TOTAL     |
|-------------------------------------------------|--------------------------------------------------|--------|---------|----------------------------|--------|---------|---------|---------|---------|-----------|
| TOTALREGISTEREDVOTERS                           | TOTALREGISTEREDVOTERS                            | 1650   | 2446    | 2238                       | 1728   | 2761    | 2496    | 2935    | 2589    | 18843     |
| TOTALVOTESCAST                                  | TOTALVOTESCAST                                   | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 929       |
| PERCENTOFBALLOTSCAST                            | PERCENTOFBALLOTSCAST                             | 4%     | 4%      | 3%                         | 4%     | 5%      | 6%      | 5%      | 6%      | 5%        |
| FORSELECTBOARD                                  |                                                  |        |         |                            |        |         |         |         |         |           |
| For ThreeYears                                  |                                                  |        |         | Vote for One               |        |         |         |         |         |           |
| MICHAELK.WALSH                                  |                                                  | 55     | 83      | 60                         | 56     | 107     | 121     | 128     | 118     | 728       |
| 10 Prairie St. Write-In                         | (Candidate for Re-election) (Write-in Candidate) | 2      | 1       | 0                          | 0      | 3       | 2       | 1       | 0       | 9         |
| Blanks                                          |                                                  | 14     | 19      | 16                         | 13     | 25      | 38      | 31      | 36      | 192       |
|                                                 | TOTAL                                            | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 737       |
| FORBOARDOFHEALTH                                |                                                  |        |         | -                          |        |         | -       | -       |         | 929       |
| For ThreeYears                                  |                                                  |        |         | Vote for One               |        |         |         |         |         |           |
| PAULA.MAZZUCHELLI                               |                                                  | 60     | 89      | 61                         | 57     | 108     | 138     | 139     | 135     | 787       |
| 22 Woodridge Rd Write-In                        | (Candidate for Re-election) (Write-in Candidate) | 0      | 0       | 0                          | 0      | 3       | 0       | 0       | 0       | 3         |
| Blanks                                          |                                                  | 11     | 14      | 15                         | 12     | 24      | 23      | 21      | 19      | 139       |
|                                                 | TOTAL                                            | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 790       |
| FORBOARDOFASSESSORS                             |                                                  |        |         |                            |        |         |         |         |         | 929       |
| For Three Years                                 |                                                  |        |         | Votefor One                |        |         |         |         |         |           |
| PAULG.SIMAS 4 Evans Rd.                         | (Candidate for Re-election)                      | 45     | 73      | 56                         | 41     | 99      | 109     | 121     | 103     | 647       |
| Write-In                                        | (Write-in Candidate)                             | 0      | 0       | 0                          | 0      | 0       | 1       | 0       | 0       | 1         |
| Blanks                                          |                                                  | 26     | 30      | 20                         | 28     | 36      | 51      | 39      | 51      | 281       |
|                                                 | TOTAL                                            | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 648       |
|                                                 |                                                  |        |         |                            |        |         | -       | -       | -       | 929       |
| FORBOARDOFLIBRARYTRUSTEES                       |                                                  |        |         | Vote for not more than Two |        |         |         |         |         |           |
| For Three Years STEPHANIEP.ABISLA               | (Candidate for Re-election)                      | 43     | 68      | 51                         | 42     | 105     | 96      | 118     | 107     | 630       |
| 377 Central St. ANDREWE.JOHANSON 4 HollisSt. #2 |                                                  | 40     | 58      | 49                         | 37     | 81      | 87      | 106     | 91      | 549       |
| Write-In                                        | (Write-in Candidate)                             | 0      | 0       | 0                          | 0      | 2       | 0       | 0       | 0       | 2         |
| Blanks                                          |                                                  | 59     | 80      | 52                         | 59     | 82      | 139     | 96      | 110     | 677       |
|                                                 | TOTAL                                            | 142    | 206     | 152 76                     | 138 69 | 270 135 | 322 161 | 320 160 | 308 154 | 1858 929  |
|                                                 |                                                  | 71     | 103     |                            |        |         |         |         |         |           |
| FORPARKCOMMISSIONER                             |                                                  |        |         |                            |        | "       |         |         |         |           |
| For ThreeYears                                  |                                                  |        |         | Vote for One               |        |         |         |         |         |           |
| SCOTTJ.CRISAFULLI 52 Harding St.                |                                                  | 50     | 78      | 58                         | 54     | 107     | 117     | 128     | 113     | 705       |
| Write-In                                        | (Candidate for Re-election) (Write-in Candidate) | 1      | 3       | 1                          | 0      | 1       | 0       | 0       | 0       | 6         |
| Blanks                                          |                                                  | 20     | 22      | 17                         | 15     | 27      | 44      | 32      | 41      | 218       |
|                                                 | TOTAL                                            | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 711       |
|                                                 |                                                  |        |         |                            |        |         |         |         |         | 929       |
| FORPLANNINGBOARD                                |                                                  |        |         |                            |        |         |         |         |         |           |
| For Five Years                                  |                                                  |        |         | Vote for One               |        |         |         |         |         |           |
| MARBLEL.MAININIIII                              |                                                  | 52     | 76      | 56                         | 42     | 105     | 115     | 119     | 108     | 673       |
| 5 Bandy Ln. Write-In                            | (Candidate for Re-election) (Write-in Candidate) | 0      | 0       | 0                          | 0      | 1       | 1       | 0       | 0       | 2         |
| Blanks                                          |                                                  | 19     | 27      | 19                         | 27     | 29      | 45      | 41      | 46      | 253       |
|                                                 | TOTAL                                            | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 675       |
|                                                 |                                                  | -      |         |                            |        |         |         | -       | -       | 929       |
| FORSEWERCOMMISSIONER For ThreeYears             |                                                  |        |         | Vote for One               |        |         |         |         |         |           |
| ScottVecchiolla(Writein)                        |                                                  | 4      | 1       | 3                          | 1      | 1       | 1       | 2       | 2       | 15        |
| Richard Cenedella (Write in Candidate)          |                                                  | 12     | 16      | 14                         | 12     | 5       | 23      | 9       | 13      | 104       |
| JasonVaz(WriteinCandidate)                      |                                                  | 0      | 0       | 5                          | 3      | 3       | 9       | 5       | 2       | 27        |
| Write-In                                        | (Write-in Candidate)                             | 11     | 27      | 10                         | 0      | 12      | 7       | 5       | 10      | 82        |
| Blanks                                          |                                                  | 44     | 59      | 44                         | 53     | 114     | 121     | 139     | 127     | 701       |
|                                                 |                                                  | 71     | 103     | 76                         | 69     | 135     | 161     | 160     | 154     | 228 929   |
| FORSCHOOLCOMMITTEE                              |                                                  |        |         |                            |        |         |         |         |         |           |
| ForThreeYears JOHNW.ERICKSON                    |                                                  | 51     | 69      | Vote for Two 48            | 46     | 94      | 108     | 102     | 99      | 617       |
| 10 Rosenfeld Ave. DERRICKK.SOBERS               | (Candidate for Re-election)                      | 41     | 62      | 49                         | 37     | 97      | 103     | 113     | 101     | 603       |
| 13 Haven St. Write-In                           | (Write-in Candidate)                             | 2      | 2       | 0                          | 0      | 1       | 0       | 0       | 0       | 5         |
| Blanks                                          |                                                  | 48     | 73      | 55                         | 55     | 78      | 111     | 105     | 108     | 633       |
|                                                 | TOTAL                                            | 142 71 | 206 103 | 152 76                     | 138 69 | 270 135 | 322 161 | 320 160 | 308 154 | 1225 1863 |

| FORTRUSTEEOFVERNONGROVECEMETERY           | FORTRUSTEEOFVERNONGROVECEMETERY                  |                                           |                                           |                                           |                                           |                                           |                                           |                                           |                                           | 929                                       |
|-------------------------------------------|--------------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|
| For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two        | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two | For ThreeYears Vote for not more than Two |
| PAULA.BOISCLAIR 13 Elizabeth Rd.          | (Candidate for Re-election)                      | 44                                        | 69                                        | 49                                        | 44                                        | 102                                       | 118                                       | 118                                       | 108                                       | 652                                       |
| FREDERICKELLIOTT                          |                                                  | 37                                        | 64                                        | 46                                        | 39                                        | 91                                        | 92                                        | 106                                       | 93                                        | 568                                       |
