| CANDIDATES                        | PRECINCT1                         | Official Results PRECINCT2        | PRECINCT3                         | TOTAL                             |
|-----------------------------------|-----------------------------------|-----------------------------------|-----------------------------------|-----------------------------------|
| MODERATOR(1yr)                    | MODERATOR(1yr)                    | MODERATOR(1yr)                    | MODERATOR(1yr)                    | MODERATOR(1yr)                    |
| Robert A.Cantoreggi,              | 479                               | 429                               | 686                               | 1594                              |
| Write-ins                         | 3                                 | 5                                 | 4                                 | 12                                |
| Blanks                            | 128                               | 128                               | 239                               | 495                               |
| SELECT BOARD(3yr)                 | SELECT BOARD(3yr)                 | SELECT BOARD(3yr)                 | SELECT BOARD(3yr)                 | SELECT BOARD(3yr)                 |
| Craig W.Schultze                  | 491                               | 419                               | 697                               | 1607                              |
| Write-ins                         | 3                                 | 2                                 | 3                                 | 8                                 |
| Blanks                            | 116                               | 141                               | 229                               | 486                               |
| SCHOOLCOMMITTEE(3yr) VOTEFORTWO   | SCHOOLCOMMITTEE(3yr) VOTEFORTWO   | SCHOOLCOMMITTEE(3yr) VOTEFORTWO   | SCHOOLCOMMITTEE(3yr) VOTEFORTWO   | SCHOOLCOMMITTEE(3yr) VOTEFORTWO   |
| Robyn L.Briggs                    | 396                               | 338                               | 585                               | 1319                              |
| SeanP.Powers                      | 383                               | 329                               | 574                               | 1286                              |
| Write-ins                         | 1                                 | 3                                 | 2                                 | 6                                 |
| Blanks                            | 440                               | 454                               | 697                               | 1591                              |
| BOARD of HEALTH(3yr)              | BOARD of HEALTH(3yr)              | BOARD of HEALTH(3yr)              | BOARD of HEALTH(3yr)              | BOARD of HEALTH(3yr)              |
| Write-in:KathleenAshe             | 24                                | 37                                | 33                                | 94                                |
| Wnite-in:AndrewMirken             | 11                                | 8                                 | 36                                | 55                                |
| Write-in:CarolHayes               | 49                                | 50                                | 74                                | 173                               |
| Write-ins                         | 5                                 | 6                                 | 8                                 | 19                                |
| Blanks                            | 521                               | 461                               | 778                               | 1760                              |
| LIBRARYTRUSTEE(3yr)               | LIBRARYTRUSTEE(3yr)               | LIBRARYTRUSTEE(3yr)               | LIBRARYTRUSTEE(3yr)               | LIBRARYTRUSTEE(3yr)               |
| Rebecca A.F.Hughes                | 485                               | 434                               | 697                               | 1616                              |
| Write-ins                         | 0                                 | 1                                 | 4                                 | 5                                 |
| Blanks                            | 125                               | 127                               | 228                               | 480                               |
| PLANNINGBOARD(5yrs)               |                                   |                                   |                                   |                                   |
| MichaelA.Giampietro               | 473                               | 419                               | 682                               | 1574                              |
| Write-ins                         | 7                                 | 11                                | 6                                 | 24                                |
| Blanks                            | 130                               | 132                               | 241                               | 503                               |
| PLANNINGBOARD(3yrs)               | PLANNINGBOARD(3yrs)               | PLANNINGBOARD(3yrs)               | PLANNINGBOARD(3yrs)               | PLANNINGBOARD(3yrs)               |
| James F.McKay                     | 485                               | 427                               | 692                               | 1604                              |
| Write-ins                         | 5                                 | 11                                | 4                                 | 20                                |
| Blanks                            | 120                               | 124                               | 233                               | 477                               |
| HOUSINGAUTHORITY(5yrS) VOTEFORONE | HOUSINGAUTHORITY(5yrS) VOTEFORONE | HOUSINGAUTHORITY(5yrS) VOTEFORONE | HOUSINGAUTHORITY(5yrS) VOTEFORONE | HOUSINGAUTHORITY(5yrS) VOTEFORONE |
| Carol B.Mushnick                  | 493                               | 430                               | 684                               | 1607                              |
| Write-ins                         | 0                                 | 4                                 | 6                                 | 10                                |
| Blanks                            | 117                               | 128                               | 239                               | 484                               |
| QUESTION1                         | QUESTION1                         | QUESTION1                         | QUESTION1                         | QUESTION1                         |
| YES                               | 318                               | 280                               | 444                               | 1042                              |
| NO                                | 287                               | 280                               | 483                               | 1050                              |
| Blanks                            | 5                                 | 2                                 | 2                                 | 9                                 |
| Total Ballots:                    | 610                               | 562                               | 929                               | 2101                              |
