## NAHANT ANNUAL TOWN ELECTION

## APRIL 26, 2025 OFFICIAL RESULTS

| POSITION                       | NAME                   | VOTES   |
|--------------------------------|------------------------|---------|
| Board of Selectmen             | Michael P. Manning     | 290     |
|                                | Patrick O'Reilly       | 449     |
|                                | David Wilson           | 77      |
| Moderator                      | Peter Barba            | 653     |
| Town Clerk                     | Diane Savage Dunfee    | 725     |
| Assessor - 3 years             | Edward "Ted" Costigan  | 583     |
| Assessor 2-year unexpired term | NOCANDIDATEELECTED     |         |
| Public Library Trustee         | Anne Broomer           | 611     |
| Constable                      | Robert J. Scanlan, Jr. | 539     |
| School Committee- 3 year       | Beth Anderson          | 571     |
| School Committee 2-yr. unexp   | Judith Murphy          | 203     |
|                                | Meredith Tibbo         | 467     |
| Planning Board- 5 Years        | Sheila Hambleton       | 627     |
| Planning Board- 2 year unexp.  | Michael Cullinan       | 505     |
|                                | Scott Kirkland         | 177     |
| Nahant Housing Authority       | Susan Edwards          | 603     |
| Ballot Question                | YES                    | 535     |
|                                | NO                     | 171     |

Total Ballots Cast

821
