| Date:AnnualTownElectionApril8,2025     | PrecinctA   | Precinct B   | PrecinctC   | PrecinctD   | PrecinctE   | PrecinctF   | PrecinctG   | PrecinctH   | PrecinctI   | PrecinctJ   |       |
|----------------------------------------|-------------|--------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------------|-------|
| OFFICESANDCANDIDATES                   |             |              |             |             |             |             |             |             |             |             | Total |
| Computer                               | 488         | 738          | 634         | 655         | 735         | 786         | 929         | 673         | 865         | 589         | 7092  |
| Handcount                              | 19          | 32           | 20          | 26          | 17          | 28          | 26          | 27          | 33          | 20          | 248   |
| TOTAL                                  | 507         | 770          | 654         | 681         | 752         | 814         | 955         | 700         | 898         | 609         | 7340  |
| MODERATOR(forthreeyears)(VoteforONE)   |             |              |             |             |             |             |             |             |             |             |       |
| Michael K.Fee                          | 380         | 564          | 486         | 455         | 539         | 580         | 682         | 496         | 639         | 436         | 5257  |
| H/C                                    | 17          | 23           | 19          | 22          | 13          | 21          | 18          | 15          | 22          | 12          | 182   |
| ScatteredWrite-Ins                     | 1           | 2            | 1           | 3           | 2           | 5           | 3           | 0           | 4           | 6           | 27    |
| Blanks                                 | 107         | 172          | 147         | 197         | 194         | 201         | 244         | 177         | 222         | 147         | 1808  |
| H/CBlanks                              | 2           | 9            | 1           | 4           | 4           | 7           | 8           | 12          | 11          | 8           | 66    |
| TOTAL                                  | 507         | 770          | 654         | 681         | 752         | 814         | 955         | 700         | 898         | 609         | 7340  |
| SELECTBOARD(forthreeyears)(VoteforONE) |             |              |             |             |             |             |             |             |             |             |       |
| Heidi Frail                            | 293         | 462          | 394         | 414         | 473         | 484         | 631         | 398         | 548         | 370         | 4467  |
| H/C                                    | 13          | 17           | 16          | 21          | 15          | 17          | 19          | 9           | 21          | 10          | 158   |
| VikramKaul                             | 161         | 220          | 201         | 192         | 226         | 261         | 259         | 238         | 260         | 183         | 2201  |
| H/C                                    | 5           | 13           | 3           | 3           | 2           | 9           | 5           | 15          | 11          | 6           | 72    |
| Write-lns                              | 0           | 3            | 1           | 1           | 0           | 1           | 1           | 2           | 1           | 1           | 11    |
| Blanks                                 | 34          | 53           | 38          | 48          | 36          | 40          | 38          | 35          | 56          | 35          | 413   |
| H/C Blanks                             | 1           | 2            | 1           | 2           | 0           | 2           | 2           | 3           | 1           | 4           | 18    |
| TOTAL                                  | 507         | 770          | 654         | 681         | 752         | 814         | 955         | 700         | 898         | 609         | 7340  |
| TOWN CLERK(forthreeyears)(Votefor ONE) |             |              |             |             |             |             |             |             |             |             |       |
| LouiseL.Miller                         | 381         | 558          | 495         | 468         | 549         | 585         | 661         | 499         | 648         | 437         | 5281  |
| H/C                                    | 19          | 24           | 19          | 21          | 12          | 21          | 20          | 17          | 24          | 14          | 191   |
| Write-Ins                              | 1           | 4            | 1           | 0           | 3           | 4           | 1           | 0           | 4           | 1           | 19    |
| Blanks                                 | 106         | 176          | 138         | 187         | 183         | 197         | 267         | 174         | 213         | 151         | 1792  |
| H/C Blanks                             | 0           | 8            | 1           | 5           | 5           | 7           | 6           | 10          | 9           | 6           | 57    |
| TOTAL                                  | 507         | 770          | 654         | 681         | 752         | 814         | 955         | 700         | 898         | 609         | 7340  |

|                                                              | PrecinctA   | Precinct B   | Precinct C   | PrecinctD   | PrecinctE   | Precinct F   | PrecinctG   | Precinct H   | PrecinctI   | PrecinctJ   |       |
|--------------------------------------------------------------|-------------|--------------|--------------|-------------|-------------|--------------|-------------|--------------|-------------|-------------|-------|
| OFFICESANDCANDIDATES                                         | ED          | ED           | ED           | ED          | ED          | ED           | ED          | ED           | ED          | ED          | Total |
| ASSESSOR(forthreeyears)(VoteforONE)                          |             |              |              |             |             |              |             |              |             |             |       |
| John A.Bulian                                                | 366         | 529          | 465          | 436         | 511         | 548          | 620         | 490          | 602         | 408         | 4975  |
| H/C                                                          | 16          | 25           | 19           | 20          | 14          | 18           | 19          | 14           | 24          | 12          | 181   |
| ScatteredWrite-Ins                                           | 5           | 5            | 1            | 4           | 4           | 6            | 6           | 1            | 7           | 5           | 44    |
| Blanks                                                       | 117         | 204          | 168          | 215         | 220         | 232          | 303         | 182          | 256         | 176         | 2073  |
| H/C Blanks                                                   | 3           | 7            | 1            | 6           | 3           | 10           | 7           | 13           | 9           | 8           | 67    |
| TOTAL                                                        | 507         | 770          | 654          | 681         | 752         | 814          | 955         | 700          | 898         | 609         | 7340  |
| SCHOOL COMMITTEE(for three years)(Vote for NotMoreThanTHREE) |             |              |              |             |             |              |             |              |             |             |       |
| Constance S.Barr                                             | 125         | 189          | 150          | 139         | 159         | 178          | 148         | 116          | 154         | 119         | 1477  |
| H/C                                                          | 12          | 16           | 11           | 9           | 6           | 7            | 7           | 6            | 8           | 4           | 86    |
| AndreaLongoCarter                                            | 261         | 437          | 430          | 416         | 450         | 457          | 559         | 406          | 489         | 314         | 4219  |
| H/C                                                          | 9           | 18           | 15           | 14          | 12          | 18           | 17          | 15           | 20          | 11          | 149   |
| Alisa M. Skatrud                                             | 246         | 402          | 321          | 364         | 406         | 380          | 558         | 346          | 454         | 294         | 3771  |
| H/C                                                          | 10          | 14           | 12           | 15          | 12          | 12           | 15          | 11           | 16          | 6           | 123   |
| Sri Devi Baqri                                               | 227         | 358          | 295          | 302         | 389         | 357          | 493         | 329          | 483         | 297         | 3530  |
| H/C                                                          | 3           | 12           | 10           | 9           | 10          | 17           | 12          | 9            | 13          | 7           | 102   |
| ScottMarder                                                  | 172         | 215          | 200          | 197         | 201         | 272          | 243         | 256          | 273         | 196         | 2225  |
| H/C                                                          | 5           | 8            | 3            | 4           | 2           | 10           | 8           | 15           | 5           | 9           | 69    |
| Leanne R.Ratti                                               | 167         | 232          | 212          | 201         | 252         | 299          | 317         | 224          | 308         | 220         | 2432  |
| H/C                                                          | 4           | 12           | 7            | 9           | 4           | 7            | 5           | 10           | 7           | 8           | 73    |
| ScatteredWrite-ins                                           | 1           | 1            | 0            | 0           | 0           | 5            | 0           | 0            | 3           | 0           | 10    |
| Blanks                                                       | 265         | 380          | 294          | 346         | 348         | 410          | 469         | 342          | 431         | 327         | 3612  |
| H/C Blanks                                                   | 14          | 16           | 2            | 18          | 5           | 13           | 14          | 15           | 32          | 13          | 142   |
| TOTAL                                                        | 1521        | 2310         | 1962         | 2043        | 2256        | 2442         | 2865        | 2100         | 2696        | 1825        | 22020 |

| OFFICESANDCANDIDATES                                                                        | PrecinctA   | Precinct B   | Precinct C   | Precinct D   | PrecinctE   | Precinct F   | PrecinctG   | PrecinctH   | PrecinctI   | PrecinctJ   |       |
|---------------------------------------------------------------------------------------------|-------------|--------------|--------------|--------------|-------------|--------------|-------------|-------------|-------------|-------------|-------|
|                                                                                             | ED          | ED           | ED           | ED           | ED          | ED           | ED          | ED          | ED          | ED          | Total |
| TRUSTEEOFMEMORIALPARK(TruSteeof Soldiers'Memorials-Veteran)(forthreeyears) (VoteforONE)     |             |              |              |              |             |              |             |             |             |             |       |
| Matthew L.Ching                                                                             | 361         | 535          | 465          | 431          | 511         | 549          | 610         | 471         | 611         | 421         | 4965  |
| H/C                                                                                         | 16          | 23           | 17           | 22           | 9           | 18           | 18          | 14          | 24          | 13          | 174   |
| Write-Ins                                                                                   | 1           | 0            | 0            | 0            | 1           | 4            | 1           | 0           | 3           | 1           | 11    |
| Blanks                                                                                      | 126         | 203          | 169          | 224          | 223         | 233          | 318         | 202         | 251         | 167         | 2116  |
| H/C Blanks                                                                                  | 3           | 9            | 3            | 4            | 8           | 10           | 8           | 13          | 9           | 7           | 74    |
| TOTAL                                                                                       | 507         | 770          | 654          | 681          | 752         | 814          | 955         | 700         | 898         | 609         | 7340  |
| TRUSTEEOFMEMORIALPARK(Trusteeof Soldiers'Memorials-Non-Veteran)(forthree years)(VoteforONE) |             |              |              |              |             |              |             |             |             |             |       |
| MichaelA.Fraini                                                                             | 362         | 531          | 465          | 429          | 512         | 549          | 605         | 461         | 611         | 420         | 4945  |
| H/C                                                                                         | 15          | 23           | 18           | 23           | 11          | 20           | 18          | 13          | 25          | 13          | 179   |
| ScatteredWrite-Ins                                                                          | 1           | 1            | 0            | 0            | 0           | 3            | 1           | 0           | 4           | 2           | 12    |
| Blanks                                                                                      | 125         | 206          | 169          | 226          | 223         | 234          | 323         | 212         | 250         | 167         | 2135  |
| H/C Blanks                                                                                  | 4           | 9            | 2            | 3            | 6           | 8            | 8           | 14          | 8           | 7           | 69    |
| TOTAL                                                                                       | 507         | 770          | 654          | 681          | 752         | 814          | 955         | 700         | 898         | 609         | 7340  |

|                                                                      | PrecinctA   | Precinct B   | Precinct C   | Precinct D   | PrecinctE   | Precinct F   | PrecinctG   | Precinct H   | PrecinctI   | PrecinctJ   |       |
|----------------------------------------------------------------------|-------------|--------------|--------------|--------------|-------------|--------------|-------------|--------------|-------------|-------------|-------|
| OFFICESANDCANDIDATES                                                 | ED          | ED           | ED           | ED           | ED          | ED           | ED          | ED           | ED          | ED          | Total |
| TRUSTEEOFNEEDHAMPUBLICLIBRARY(for threeyears)(VoteforNotMoreThanTWO) |             |              |              |              |             |              |             |              |             |             |       |
| KathleenCahillAllison                                                | 274         | 452          | 393          | 400          | 467         | 477          | 546         | 401          | 516         | 328         | 4254  |
| H/C                                                                  | 12          | 20           | 15           | 19           | 11          | 13           | 17          | 15           | 23          | 8           | 153   |
| Robert A.Petitt                                                      | 230         | 354          | 327          | 348          | 366         | 392          | 453         | 317          | 413         | 269         | 3469  |
| H/C                                                                  | 12          | 12           | 12           | 15           | 9           | 15           | 18          | 9            | 17          | 7           | 126   |
| Vipul Bhushan                                                        | 140         | 207          | 159          | 144          | 186         | 197          | 216         | 163          | 204         | 155         | 1771  |
| H/C                                                                  | 2           | 10           | 2            | 5            | 2           | 6            | 7           | 11           | 4           | 5           | 54    |
| Megan Mistry                                                         | 109         | 162          | 133          | 94           | 145         | 157          | 197         | 159          | 193         | 161         | 1510  |
| H/C                                                                  | 5           | 13           | 5            | 3            | 2           | 8            | 3           | 7            | 6           | 7           | 59    |
| Write-Ins                                                            | 1           | 0            | 0            | 0            | 0           | 4            | 0           | 0            | 2           | 1           | 8     |
| Blanks                                                               | 222         | 301          | 256          | 324          | 306         | 345          | 446         | 306          | 402         | 264         | 3172  |
| H/C Blanks                                                           | 7           | 9            | 6            | 10           | 10          | 14           | 7           | 12           | 16          | 13          | 104   |
| TOTAL                                                                | 1014        | 1540         | 1308         | 1362         | 1504        | 1628         | 1910        | 1400         | 1796        | 1218        | 14680 |
| BOARD OFHEALTH(Forthreeyears)(Votefor Not MoreThanTWo)               |             |              |              |              |             |              |             |              |             |             |       |
| StephenK.Epstein                                                     | 292         | 452          | 384          | 377          | 444         | 452          | 528         | 396          | 500         | 354         | 4179  |
| H/C                                                                  | 16          | 21           | 17           | 17           | 11          | 19           | 18          | 11           | 23          | 12          | 165   |
| Tejal K. Gandhi                                                      | 262         | 433          | 353          | 329          | 402         | 391          | 488         | 344          | 454         | 286         | 3742  |
| H/C                                                                  | 7           | 18           | 10           | 14           | 11          | 18           | 15          | 11           | 22          | 7           | 133   |
| KhristyThompson                                                      | 167         | 225          | 206          | 227          | 234         | 243          | 270         | 213          | 263         | 209         | 2257  |
| H/C                                                                  | 7           | 15           | 10           | 6            | 2           | 11           | 10          | 9            | 4           | 10          | 87    |
| Write-Ins                                                            | 3           | 2            | 0            | 0            | 0           | 2            | 0           | 0            | 2           | 1           | 10    |
| Blanks                                                               | 252         | 364          | 325          | 377          | 390         | 484          | 572         | 393          | 511         | 328         | 3996  |
| H/C Blanks                                                           | 8           | 10           | 3            | 12           | 10          | 8            | 9           | 23           | 17          | 11          | 111   |
| TOTAL                                                                | 1014        | 1540         | 1308         | 1362         | 1504        | 1628         | 1910        | 1400         | 1796        | 1218        | 14680 |

|                                                      | PrecinctA    | Precinct B    | Precinct C   | PrecinctD     | PrecinctE     | Precinct F    | PrecinctG     | Precinct H    | PrecinctI    | PrecinctJ    |       |
|------------------------------------------------------|--------------|---------------|--------------|---------------|---------------|---------------|---------------|---------------|--------------|--------------|-------|
| OFFICESANDCANDIDATES                                 | ED           | ED            | ED           | ED            | ED            | ED            | ED            | ED            | ED           | ED           | Total |
| PLANNINGBOARD(Forfiveyears)(VoteforONE)              |              |               |              |               |               |               |               |               |              |              |       |
| Kenneth G.Buckley                                    | 217          | 266           | 240          | 222           | 279           | 300           | 336           | 238           | 331          | 223          | 2652  |
| H/C                                                  | 6            | 14            | 5            | 10            | 2             | 9             | 11            | 12            | 14           | 5            | 88    |
| EricGreenberg                                        | 210          | 374           | 329          | 352           | 384           | 401           | 517           | 365           | 431          | 302          | 3665  |
| H/C                                                  | 10           | 12            | 14           | 13            | 14            | 16            | 14            | 11            | 18           | 10           | 132   |
| Write-Ins                                            | 1            | 0             | 0            | 0             | 1             | 1             | 1             | 0             | 1            | 0            | 5     |
| Blanks                                               | 60           | 98            | 65           | 81            | 71            | 84            | 75            | 70            | 102          | 64           | 770   |
| H/C Blanks                                           | 3            | 6             | 1            | 3             | 1             | 3             | 1             | 4             | 1            | 5            | 28    |
| TOTAL                                                | 507          | 770           | 654          | 681           | 752           | 814           | 955           | 700           | 898          | 609          | 7340  |
| OFFICESANDCANDIDATES                                 | PrecinctA ED | Precinct B ED | PrecinctC ED | Precinct D ED | Precinct E ED | Precinct F ED | Precinct G ED | Precinct H ED | PrecinctI ED | PrecinctJ ED | Total |
| COMMISSIONEROFTRUSTFUNDS(Forthree years)(VoteforONE) |              |               |              |               |               |               |               |               |              |              |       |
| Andrew D.Hopkin                                      | 337          | 491           | 431          | 393           | 463           | 499           | 561           | 416           | 564          | 375          | 4530  |
| H/C                                                  | 16           | 24            | 19           | 21            | 10            | 17            | 15            | 16            | 23           | 12           | 173   |
| Scattered Write-Ins                                  | 0            | 0             | 0            | 1             | 3             | 9             | 3             | 1             | 4            | 0            | 21    |
| Blanks                                               | 151          | 247           | 203          | 261           | 269           | 278           | 365           | 256           | 297          | 214          | 2541  |
| H/C Blanks                                           | 3            | 8             | 1            | 5             | 7             | 11            | 11            | 11            | 10           | 8            | 75    |
| TOTAL                                                | 507          | 770           | 654          | 681           | 752           | 814           | 955           | 700           | 898          | 609          | 7340  |

|                                                                     | PrecinctA   | Precinct B   | Precinct C   | Precinct D   | PrecinctE   | Precinct F   | PrecinctG   | Precinct H   | PrecinctI PrecinctJ   | PrecinctI PrecinctJ   | PrecinctI PrecinctJ   |
|---------------------------------------------------------------------|-------------|--------------|--------------|--------------|-------------|--------------|-------------|--------------|-----------------------|-----------------------|-----------------------|
| OFFICESANDCANDIDATES                                                | ED          | ED           | ED           | ED           | ED          | ED           | ED          | ED           | ED                    | ED                    | Total                 |
| NEEDHAM HOUSING AUTHORITY (for five years) (Vote for ONE)           |             |              |              |              |             |              |             |              |                       |                       |                       |
| GeoffreyEngler                                                      | 189         | 315          | 282          | 288          | 323         | 319          | 440         | 310          | 333                   | 226                   | 3025                  |
| H/C                                                                 | 9           | 13           | 9            | 12           | 6           | 10           | 11          | 10           | 15                    | 4                     | 66                    |
| BarbaraMcDonald                                                     | 219         | 289          | 256          | 242          | 281         | 329          | 320         | 244          | 365                   | 258                   | 2803                  |
| H/C                                                                 | 8           | 13           | 11           | 10           | 6           | 13           | 11          | 13           | 14                    | 12                    | 111                   |
| ScatteredWrite-Ins                                                  | 2           | 1            | 0            | 1            | 0           | 4            | 0           | 0            | 3                     | 1                     | 12                    |
| Blanks                                                              | 78          | 133          | 96           | 125          | 131         | 134          | 169         | 119          | 165                   | 104                   | 1254                  |
| H/C Blanks                                                          | 2           | 6            | 0            | 3            | 5           | 5            | 4           | 4            | 3                     | 4                     | 36                    |
| TOTAL                                                               | 507         | 770          | 654          | 681          | 752         | 814          | 955         | 700          | 898                   | 609                   | 7340                  |
| PARK&RECREATIONCOMMISSION(Forthree years)(Votefor Not MoreThan TWO) |             |              |              |              |             |              |             |              |                       |                       |                       |
| Cynthia Chaston                                                     | 270         | 456          | 402          | 371          | 448         | 446          | 520         | 388          | 462                   | 299                   | 4062                  |
| H/C                                                                 | 14          | 22           | 18           | 16           | 11          | 18           | 22          | 9            | 24                    | 10                    | 164                   |
| MichelleGeddes                                                      | 277         | 426          | 386          | 374          | 418         | 432          | 505         | 379          | 441                   | 290                   | 3928                  |
| H/C                                                                 | 12          | 19           | 11           | 19           | 11          | 12           | 17          | 15           | 21                    | 9                     | 146                   |
| JitBasak                                                            | 148         | 207          | 169          | 179          | 234         | 208          | 270         | 188          | 345                   | 243                   | 2191                  |
| H/C                                                                 | 4           | 8            | 9            | 8            | 4           | 11           | 7           | 8            | 9                     | 7                     | 75                    |
| ScatteredWrite-Ins                                                  | 0           | 2            | 0            | 0            | 1           | 4            | 0           | 3            | 1                     | 1                     | 12                    |
| Blanks                                                              | 281         | 386          | 311          | 386          | 369         | 482          | 563         | 388          | 481                   | 345                   | 3992                  |
| H/C Blanks                                                          | 8           | 14           | 2            | 9            | 8           | 15           | 6           | 22           | 12                    | 14                    | 110                   |
| TOTAL                                                               | 1014        | 1540         | 1308         | 1362         | 1504        | 1628         | 1910        | 1400         | 1796                  | 1218                  | 14680                 |
