## AnnualTownElectionMay18,2024OfficialResults

Total RegisteredVoters Total Voters

8,462

286

Election Turnout

3%

| Board of Assessors(Vote for One)(ThreeYearTerm)               | PCT 1   | PCT 2   | PCT3   | Total   |
|---------------------------------------------------------------|---------|---------|--------|---------|
| Theodore G.Dawe                                               | 49      | 87      | 73     | 209     |
| WRITEINS                                                      | 1       |         |        | 1       |
| BLANKS                                                        | 14      | 38      | 24     | 76      |
| TOTALS                                                        | 64      | 125     | 97     | 286     |
| Board of Health (Vote for One) (Three Year Term)              | PCT 1   | PCT 2   | PCT3   | Total   |
| RobertP.Gallagher                                             | 48      | 87      | 77     | 212     |
| WRITEINS                                                      | 1       |         |        | 1       |
| BLANKS                                                        | 15      | 38      | 20     | 73      |
| TOTALS                                                        | 64      | 125     | 97     | 286     |
| Select Board (Vote for Two) (Three Year Term)                 | PCT 1   | PCT 2   | PCT3   | Total   |
| ThomasAndrewReardon                                           | 43      | 70      | 73     | 186     |
| PeterWilliamSmellie                                           | 41      | 78      | 54     | 173     |
| WRITEINS                                                      | 2       | 18      | 9      | 29      |
| WRITEINS                                                      | 1       | 3       | 4      | 8       |
| BLANKS                                                        | 41      | 81      | 54     | 176     |
| TOTALS                                                        | 128     | 250     | 194    | 572     |
| Board of Water Commissioners (Vote for One) (Three Year Term) | PCT 1   | PCT 2   | PCT3   | Total   |
| Peter M.Dillon                                                | 50      | 91      | 79     | 220     |
| WRITEINS                                                      | 1       | 1       |        | 2       |
| BLANKS                                                        | 13      | 33      | 18     | 64      |
| TOTALS                                                        | 64      | 125     | 97     | 286     |

| Moderator(VoteforOne)(OneYearTerm)                               | PCT 1   | PCT2   | PCT3   | Total   |
|------------------------------------------------------------------|---------|--------|--------|---------|
| Matthew H.Greene                                                 | 43      | 68     | 67     | 178     |
| WRITEINS                                                         | 5       | 10     | 2      | 17      |
| BLANKS                                                           | 16      | 47     | 28     | 91      |
| TOTALS                                                           | 64      | 125    | 97     | 286     |
| Norwell Public Library Trustees (Vote for Two) (Three Year Term) | PCT 1   | PCT 2  | PCT3   | Total   |
| Megan Collins                                                    | 43      | 87     | 80     | 210     |
| Christine Smith                                                  | 50      | 80     | 70     | 200     |
| WRITE INS                                                        | 1       |        |        | 1       |
| WRITEINS                                                         | 1       |        |        | 1       |
| BLANKS                                                           | 33      | 83     | 44     | 160     |
| TOTALS                                                           | 128     | 250    | 194    | 572     |
| Norwell Housing Authority (Vote for Two) (Three Year Term)       | PCT 1   | PCT 2  | PCT3   | Total   |
| CynthiA Lydon                                                    | 50      | 77     | 69     | 196     |
| WRITE-IN:SeanJoyce                                               | 4       |        |        | 4       |
| WRITEINS                                                         |         | 2      | 3      | 5       |
| WRITEINS                                                         | -       |        | L      | 1       |
| BLANKS                                                           | 74      | 171    | 121    | 366     |
| TOTALS                                                           | 128     | 250    | 194    | 572     |
| Planning Board (Vote for One) (Three Year Term)                  | PCT 1   | PCT 2  | PCT3   | Total   |
| ThomasM.SullivanIll                                              | 47      | 73     | 74     | 194     |
| WRITE-INS                                                        | 1       | 1      | 1      | 3       |
| BLANKS                                                           | 16      | 51     | 22     | 89      |
| TOTALS                                                           | 64      | 125    | 97     | 286     |
| School Committee(Vote for One)(ThreeYear Term)                   | PCT 1   | PCT 2  | PCT3   | Total   |
| KristinA.McEachern                                               | 46      | 87     | 73     | 206     |
| WRITE-INS                                                        | 1       | 1      | 1      | 3       |
| BLANKS                                                           | 17      | 37     | 23     | 77      |
| TOTALS                                                           | 64      | 125    | 97     | 286     |

| BallotQuestions                                                                                                                                                                                                                                                                                                                                   | PCT 1   | PCT 2   | PCT3   | Total   |
|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|---------|--------|---------|
| Should a portion of land consisting of approximately six acres onWildcat Lane(Block 65,Lots 24& 25) (Assessor'sParcels:065-24-24A and 065-25- 24A),be sold for the development of 3 one acre house lots,with the remainder placed into conservation in perpetuity,the proceeds from the saleofwhichwould bedeposited into theTown's General Fund? |         |         |        |         |
| YES                                                                                                                                                                                                                                                                                                                                               | 25      | 37      | 46     | 108     |
| NO                                                                                                                                                                                                                                                                                                                                                | 34      | 84      | 47     | 165     |
| BLANKS                                                                                                                                                                                                                                                                                                                                            | 5       | 4       | 4      | 13      |
| TOTALS                                                                                                                                                                                                                                                                                                                                            | 64      | 125     | 97     | 286     |
