## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|--------------------------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------|
| SELECTMEN-2(3YEARS)            |         |         |         |         |         |         |         |         |         |         |
| MICHAELSAAD                    | 176     | 187     | 168     | 340     | 94      | 124     | 203     | 167     | 187     | 1646    |
| DAVIDBRIANBLISS                | 58      | 69      | 63      | 87      | 32      | 31      | 50      | 87      | 65      | 542     |
| CHERYLLYNNDOYLE                | 178     | 227     | 190     | 293     | 95      | 96      | 178     | 199     | 155     | 1611    |
| BLANKS                         | 119     | 177     | 121     | 228     | 67      | 75      | 135     | 116     | 131     | 1169    |
| WRITE-INS                      | 5       | 0       | 4       | 6       | 2       | 2       | 0       | 1       | 2       | 22      |
| SCATTERING                     |         |         |         |         |         |         |         |         |         | 0       |
| TOTALVOTE                      | 536     | 660     | 546     | 954     | 290     | 328     | 566     | 570     | 540     | 4990    |
| SELECTMEN-1(1YEAR)(TOFILLAVAC) |         |         |         |         |         |         |         |         |         |         |
| MATTHEWE.LANE                  | 205     | 233     | 208     | 355     | 110     | 107     | 214     | 217     | 181     | 1830    |
| BLANKS                         | 61      | 95      | 62      | 120     | 35      | 56      | 67      | 66      | 87      | 649     |
| WRITE-INS                      | 2       | 2       | 3       | 2       | 0       | 1       | 2       | 2       | 2       | 16      |
| SCATTERING                     |         |         |         |         |         |         |         |         |         | 0       |
| TOTALVOTE                      | 268     | 330     | 273     | 477     | 145     | 164     | 283     | 285     | 270     | 2495    |
| MODERATOR-1(3YRS)              |         |         |         |         |         |         |         |         |         |         |
| GERRIS.SLATER                  | 189     | 210     | 196     | 339     | 103     | 111     | 197     | 197     | 176     | 1718    |
| BLANKS                         | 77      | 119     | 77      | 136     | 41      | 52      | 86      | 85      | 93      | 766     |
| WRITE-INS                      | 2       | 1       | 0       | 2       | 1       | 1       | 0       | 3       | 1       | 11      |
| SCATTERING                     |         |         |         |         |         |         |         |         |         | 0       |
|                                |         | 330     | 273     | 477     | 145     |         | 283     | 285     |         |         |
| TOTALVOTE                      | 268     |         |         |         |         | 164     |         |         | 270     | 2495    |

## ANNUALTOWNELECTION MONDAY,APRIL 6,2026 TOWNOFNORWOOD OFFICIALRESULTS

