## May 28, 2024 Annual Town Election Results

Total Registered Voters in Otis=1320

Total Registered Voters who Participated in this Election=367

| SELECTPERSON        | Votes   | SELECTPERSON WRITEIN   | Votes   |
|---------------------|---------|------------------------|---------|
| THERESE D.GOULD     | 207     | ALL OTHERS             | 3       |
| SUSANBAUER-BROFMAN  | 154     |                        |         |
| BLANKS              | 3       |                        |         |
| 367                 | 364     |                        | 3       |
| MODERATOR           | Votes   | MODERATOR WRITE-IN     | Votes   |
| DAVIDSARNACKI       | 252     | ALLOTHERS              | 10      |
| BLANKS              | 105     |                        |         |
| 367                 | 357     |                        | 10      |
| TREEWARDEN          | Votes   | TREEWARDENWRITE-IN     | Votes   |
| JOHN (JACK) CONBOY  | 286     | ALL OTHERS             | 8       |
| BLANKS              | 73      |                        |         |
| 367                 | 359     |                        | 8       |
| FINANCEBOARD3YRTERM | Votes   | FINANCE WRITE IN3 YR   | Votes   |
| JILL E.MORETZ       | 277     | ALL OTHERS             | 1       |
| BLANKS              | 89      |                        |         |
| 367                 | 366     |                        | 1       |
| LIBRARY TRUSTEE     | Votes   | LIBRARYTRUSTEEWRITEIN  | Votes   |
| JAMES RING ADAMS    | 260     | ALL OTHERS             |         |
| BLANKS              | 106     |                        |         |
| 367                 | 366     |                        | 1       |
| CEMETERY3YR         | Votes   | CEMETERY3YRWRITEIN     | Votes   |
| BLANKS              | 340     | ALL OTHERS             | 21      |
| WENDYANTHONY        | 6       |                        | 0       |
| 367                 | 346     |                        | 21      |

| PLANNING BOARD (5 YR)      | Votes   | PLANNING BRD WRITEIN   | Votes   |
|----------------------------|---------|------------------------|---------|
| BLANKS                     | 346     | ALLOTHERS              | 14      |
| ROSS KNOWLES               | 7       |                        |         |
| 367                        | 353     |                        | 14      |
| SCHOOLCOMMITTEE VOTEFORTWO | Votes   | SCHOOL WRITE IN        | Votes   |
| PHILIP J. MAGOVERN         | 253     | ALL OTHERS             | 4       |
| STACEY SCHULTZE            | 225     |                        |         |
| BLANKS                     | 252     |                        |         |
| 734                        | 730     |                        | 4       |
| QUESTION 1                 | Votes   |                        |         |
| YES                        | 97      |                        |         |
| NO                         | 225     |                        |         |
| BLANKS                     | 45      |                        |         |
| TOTAL                      | 367     |                        |         |
