| Precinct 1                                                                 |                                                                   | Precinct 2                               | Precinct 3                               | TOTAL                                    |
|----------------------------------------------------------------------------|-------------------------------------------------------------------|------------------------------------------|------------------------------------------|------------------------------------------|
| Moderator                                                                  | 3 yrs. Vote for 1                                                 |                                          |                                          |                                          |
| Stuart, Kenne th L.                                                        | 531                                                               | 446                                      | 435                                      | 1412                                     |
| Write-Ins                                                                  | 3                                                                 | 2                                        | 1                                        | 6                                        |
| Blanks                                                                     | 87                                                                | 75                                       | 70                                       | 232                                      |
| TOTAL                                                                      | 621                                                               | 523                                      | 506                                      | 1650                                     |
| TheTownClerkdeclaredKennethL.Stuartelected.                                |                                                                   |                                          |                                          |                                          |
| Select Board                                                               | 3 yrs. Vote for 2                                                 |                                          |                                          |                                          |
| Anderson,JonathanD.                                                        | 495                                                               | 402                                      | 392                                      | 1289                                     |
| Limanek, Jesse P.                                                          | 470                                                               | 386                                      | 410                                      | 1266                                     |
| Write-Ins                                                                  | 22                                                                | 12                                       | 14                                       | 48                                       |
| Blanks                                                                     | 255                                                               | 246                                      | 196                                      | 697                                      |
| TOTAL                                                                      | 1242                                                              | 1046                                     | 1012                                     | 3300                                     |
| The Town Clerk declared Jonathan D. Anderson and Jesse P. Limanek elected. |                                                                   |                                          |                                          |                                          |
| School Committee                                                           | 3 yrs. Vote for 2                                                 |                                          |                                          |                                          |
| Brennan, Paul E.                                                           | 202                                                               | 189                                      | 174                                      | 565                                      |
| Gibbons, Benjamin L.                                                       | 352                                                               | 289                                      | 312                                      | 953                                      |
| Gautreau,MatthewS.                                                         | 138                                                               | 141                                      | 110                                      | 389                                      |
| Kozaczka, Jill                                                             | 382                                                               | 289                                      | 309                                      | 980                                      |
| Levins, Amy                                                                | 62                                                                | 71                                       | 61                                       | 194                                      |
| Write-ins (others)                                                         | 18                                                                | 1                                        | 3                                        | 22                                       |
| Blanks                                                                     | 88                                                                | 66                                       | 43                                       | 197                                      |
| TOTAL                                                                      | 1242                                                              | 1046                                     | 1012                                     | 3300                                     |
| TheTown ClerkdeclaredBenjamin L.Gibbonsand Jill Kozaczka elected.          | TheTown ClerkdeclaredBenjamin L.Gibbonsand Jill Kozaczka elected. |                                          |                                          |                                          |
| Planning Board                                                             | 3 yrs. Vote for 1                                                 |                                          |                                          |                                          |
| Largess, Robert S.                                                         | 528                                                               | 435                                      | 423                                      | 1386                                     |
| Write-Ins                                                                  | 5                                                                 | 0                                        | 3                                        | 8                                        |
| Blanks                                                                     | 88                                                                | 88                                       | 80                                       | 256                                      |
| TOTAL                                                                      | 621                                                               | 523                                      | 506                                      | 1650                                     |
| TheTownClerkdeclaredRobertS.Largesselected.                                | TheTownClerkdeclaredRobertS.Largesselected.                       |                                          |                                          |                                          |
| Library Trustee                                                            | 3 yrs. Vote for 1                                                 |                                          |                                          |                                          |
| Geneva, Joanne                                                             | 526                                                               | 432                                      | 429                                      | 1387                                     |
| Write-Ins                                                                  | 2                                                                 | 4                                        | 3                                        | 9                                        |
| Blanks                                                                     | 93                                                                | 87                                       | 74                                       | 254                                      |
| TOTAL                                                                      | 621                                                               | 523                                      | 506                                      | 1650                                     |
| TheTownClerkdeclaredJoanneGenevaelected.                                   | TheTownClerkdeclaredJoanneGenevaelected.                          | TheTownClerkdeclaredJoanneGenevaelected. | TheTownClerkdeclaredJoanneGenevaelected. | TheTownClerkdeclaredJoanneGenevaelected. |
