## ANNUAL TOWN ELECTIONS-APRIL8,2024

In accordance with the accompanying Warrant, the Inhabitants of the Town of Ware, qualified to vote in the elections of the town, Precincts A, B, and C, met at the Ware Town Hall, 126 Main Street on Monday, April 8, 2024, at seven o'clock in the forenoon (7:00a.m.). The Warrant calling the Town Election having previously been posted, according to the Bylaws of the Town, met all legal requirements.

Cards of Instructions for Voters, Cards of Penalties of Corrupt Practices at the Election, Specimen Ballots etc., having been previously posted at the Town Hall outside the voting rails, the ballot boxes were set at naught. The polls were declared open by the Wardens Phillip Malboeuf and Faith Dulak.

The polls closed at eight o'clock in the evening (8:0op.m.). The total ballots cast were one thousand one hundred twenty-six (1,126). The election results are as follows for the offices which appeared on the Annual TownElectionballot:

|                                           | Precinct A                                | Precinct B                                | Precinct C                                | Total                                     |
|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|-------------------------------------------|
| SELECTMENFORTHREEYEARS-VOTEFORTWO         | SELECTMENFORTHREEYEARS-VOTEFORTWO         | SELECTMENFORTHREEYEARS-VOTEFORTWO         | SELECTMENFORTHREEYEARS-VOTEFORTWO         | SELECTMENFORTHREEYEARS-VOTEFORTWO         |
| Catherine RoseBuelow Cascio               | 255                                       | 156                                       | 181                                       | 592                                       |
| John A. Desmond                           | 287                                       | 166                                       | 167                                       | 620                                       |
| Terrance W. Smith                         | 275                                       | 171                                       | 176                                       | 622                                       |
| Blanks                                    | 186                                       | 110                                       | 109                                       | 405                                       |
| Write Ins                                 | 7                                         | 3                                         | 3                                         | 13                                        |
| Total                                     | 1010                                      | 606                                       | 636                                       | 2252                                      |
| MODERATORFORTHREEYEARS-VOTEFORONE         | MODERATORFORTHREEYEARS-VOTEFORONE         | MODERATORFORTHREEYEARS-VOTEFORONE         | MODERATORFORTHREEYEARS-VOTEFORONE         | MODERATORFORTHREEYEARS-VOTEFORONE         |
| Kathleen H. Coulombe                      | 216                                       | 177                                       | 325                                       | 718                                       |
| Blanks                                    | 102                                       | 122                                       | 178                                       | 402                                       |
| Write Instructions                        | 0                                         | 4                                         | 2                                         | 6                                         |
| Total                                     | 318                                       | 303                                       | 505                                       | 1126                                      |
| SCHOOLCOMMITTEEFOR THREEYEARS-VOTEFOR TWO | SCHOOLCOMMITTEEFOR THREEYEARS-VOTEFOR TWO | SCHOOLCOMMITTEEFOR THREEYEARS-VOTEFOR TWO | SCHOOLCOMMITTEEFOR THREEYEARS-VOTEFOR TWO | SCHOOLCOMMITTEEFOR THREEYEARS-VOTEFOR TWO |
| Julie A F Slattery                        | 185                                       | 144                                       | 262                                       | 591                                       |
| Michael Lewis-James Dubois                | 156                                       | 165                                       | 258                                       | 579                                       |
| Melissa Ann Whitham                       | 143                                       | 147                                       | 264                                       | 554                                       |
| Blanks                                    | 152                                       | 149                                       | 225                                       | 556                                       |
| Write Ins                                 | 0                                         | 1                                         | 1                                         | 2                                         |
| Total                                     | 636                                       | 606                                       | 1010                                      | 2252                                      |
| BOARDOFASSESSORSFORTHREEYEARS-VOTEFORONE  | BOARDOFASSESSORSFORTHREEYEARS-VOTEFORONE  | BOARDOFASSESSORSFORTHREEYEARS-VOTEFORONE  | BOARDOFASSESSORSFORTHREEYEARS-VOTEFORONE  | BOARDOFASSESSORSFORTHREEYEARS-VOTEFORONE  |
| DevinM.Peterson                           | 241                                       | 206                                       | 368                                       | 815                                       |
| Blanks                                    | 77                                        | 96                                        | 134                                       | 307                                       |
| Write Ins                                 | 0                                         | 1                                         | 3                                         | 4                                         |
| Total                                     | 318                                       | 303                                       | 505                                       | 1126                                      |

## ANNUAL TOWN ELECTIONS -APRIL 8, 2024

## BOARDOFHEALTHFORTHREEYEARS-VOTEFORONE

| Donna L. Rucki                                    | 260                                               | 229                                               | 394                                               | 883                                               |
|---------------------------------------------------|---------------------------------------------------|---------------------------------------------------|---------------------------------------------------|---------------------------------------------------|
| Blanks                                            | 56                                                | 73                                                | 110                                               | 239                                               |
| Write Ins                                         | 2                                                 | 1                                                 | 1                                                 | 4                                                 |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |
| PARKCOMMISSIONER FOR THREEYEARS-VOTE FORONE       | PARKCOMMISSIONER FOR THREEYEARS-VOTE FORONE       | PARKCOMMISSIONER FOR THREEYEARS-VOTE FORONE       | PARKCOMMISSIONER FOR THREEYEARS-VOTE FORONE       | PARKCOMMISSIONER FOR THREEYEARS-VOTE FORONE       |
| Kimberly E. Swarts                                | 253                                               | 221                                               | 393                                               | 867                                               |
| Blanks                                            | 65                                                | 82                                                | 109                                               | 256                                               |
| Write Ins                                         | 0                                                 | 0                                                 | 3                                                 | 3                                                 |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |
| CEMETERY COMMISSIONERFOR THREEYEARES-VOTE FOR ONE | CEMETERY COMMISSIONERFOR THREEYEARES-VOTE FOR ONE | CEMETERY COMMISSIONERFOR THREEYEARES-VOTE FOR ONE | CEMETERY COMMISSIONERFOR THREEYEARES-VOTE FOR ONE | CEMETERY COMMISSIONERFOR THREEYEARES-VOTE FOR ONE |
| Blanks                                            | 277                                               | 263                                               | 458                                               | 998                                               |
| Write Ins                                         |                                                   |                                                   |                                                   |                                                   |
| Thomas Clark                                      | 32                                                | 25                                                | 37                                                | 94                                                |
| All others                                        | 9                                                 | 15                                                | _10                                               | 34                                                |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |
| PLANNINGBOARDFORFIVEYEARS-VOTEFORONE              | PLANNINGBOARDFORFIVEYEARS-VOTEFORONE              | PLANNINGBOARDFORFIVEYEARS-VOTEFORONE              | PLANNINGBOARDFORFIVEYEARS-VOTEFORONE              | PLANNINGBOARDFORFIVEYEARS-VOTEFORONE              |
| Blanks                                            | 271                                               | 252                                               | 450                                               | 974                                               |
| Write Ins                                         |                                                   |                                                   |                                                   |                                                   |
| Shane Millier                                     | 26                                                | 34                                                | 28                                                | 88                                                |
| Kirk Brown                                        | 15                                                | 8                                                 | 16                                                | 39                                                |
| All others                                        | 6                                                 | 17                                                | 11                                                | 34                                                |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |
| PLANNINGBOARDFORTHREEYEARUNEXPIREDTERM-VOTEFORONE | PLANNINGBOARDFORTHREEYEARUNEXPIREDTERM-VOTEFORONE | PLANNINGBOARDFORTHREEYEARUNEXPIREDTERM-VOTEFORONE | PLANNINGBOARDFORTHREEYEARUNEXPIREDTERM-VOTEFORONE | PLANNINGBOARDFORTHREEYEARUNEXPIREDTERM-VOTEFORONE |
| ElizabethM.Hancock                                | 216                                               | 197                                               | 354                                               | 767                                               |
| Blanks                                            | 93                                                | 101                                               | 146                                               | 340                                               |
| Write Ins                                         | 9                                                 | 5                                                 |                                                   | 19                                                |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |
| WAREHOUSINGAUTHORITYFORFIVEYEARS-VOTEFORONE       | WAREHOUSINGAUTHORITYFORFIVEYEARS-VOTEFORONE       | WAREHOUSINGAUTHORITYFORFIVEYEARS-VOTEFORONE       | WAREHOUSINGAUTHORITYFORFIVEYEARS-VOTEFORONE       | WAREHOUSINGAUTHORITYFORFIVEYEARS-VOTEFORONE       |
| Blanks                                            | 263                                               | 256                                               | 458                                               | 977                                               |
| Write Ins                                         |                                                   |                                                   |                                                   |                                                   |
| DeniseBlodgett                                    | 47                                                | 38                                                | 41                                                | 126                                               |
| All others                                        | 8                                                 | 9                                                 | 6                                                 | 23                                                |
| Total                                             | 318                                               | 303                                               | 505                                               | 1126                                              |

Respectfully submitted,

Nancy J. TaUbot

Town Clerk
