## ANNUAL TOWN ELECTION - MAY 12, 2026

<!-- image -->

| OFFICE SELECT BOARD (3YEAR)   | PRECINCT1   | PRECINCT2   | PRECINCT3   | TOTAL   |
|-------------------------------|-------------|-------------|-------------|---------|
| STEPHANIEA.BOYD               | 131         | 48          | 157         | 336     |
| SHANA L.DIXON                 | 119         | 49          | 154         | 322     |
| WRITE INS                     | 6           |             | 8           | 15      |
| BLANKS                        | 66          | 24          | 59          | 149     |
| TOTAL                         | 322         | 122         | 378         | 822     |
| SELECT BOARD (1YEAR)          | PRECINCT1   | PRECINCT2   | PRECINCT3   | TOTAL   |
| NATHANIEL B. BUDINGTON        | 130         | 44          | 162         | 336     |
| WRITEINS                      | 3           | 1           | 3           | 7       |
| BLANKS                        | 28          | 16          | 24          | 68      |
| TOTAL                         | 161         | 61          | 189         | 411     |
| LIBRARY TRUSTEE (3 YEAR)      | PRECINCT1   | PRECINCT2   | PRECINCT3   | TOTAL   |
| JANET M.CURRAN                | 76          | 46          | 97          | 219     |
| MARTIN C.MITSOFF              | 47          | 15          | 35          | 97      |
| KATHLEEN E. SCHULTZE          | 83          | 22          | 100         | 205     |
| MICHAEL F.SUSSMAN             | 86          | 24          | 106         | 216     |
| WRITEINS                      | 1           | 0           |             | 2       |
| BLANKS                        | 29          | 15          | 39          | 83      |
| TOTAL                         | 322         | 122         | 378         | 822     |
| HOUSINGAUTHORITY              | PRECINCT1   | PRECINCT2   | PRECINCT3   | TOTAL   |
| CHARLESSTEPHENDEW             | 128         | 43          | 155         | 326     |
| WRITEINS                      | 2           | 3           | 3           | 8       |
| BLANKS                        | 31          | 15          | 31          | 77      |
| TOTAL                         | 161         | 61          | 189         | 411     |
| PLANNINGBOARD                 | PRECINCT1   | PRECINCT2   | PRECINCT3   | TOTAL   |
| ROGERTWLAWRENCE               | 126         | 44          | 150         | 320     |
| WRITEINS                      |             | 0           | 3           | 4       |
| BLANKS                        | 34          | 17          | 36          | 87      |
| TOTAL                         | 161         | 61          | 189         | 411     |
